user,Database,Python,CloudComputing,DataAnalysis,Containers,MachineLearning,ComputerVision,DataScience,BigData,Chatbot,R,BackendDev,FrontendDev,Blockchain
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
52,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
53,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
56,6.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
57,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
58,4.0,2.0,2.0,2.0,0.0,3.0,0.0,14.0,7.0,0.0,5.0,0.0,0.0,3.0
59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
60,0.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,32.0,2.0,4.0,20.0,0.0,8.0,0.0,10.0,24.0,0.0,4.0,6.0,0.0,2.0
62,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
63,24.0,2.0,2.0,16.0,0.0,2.0,0.0,2.0,12.0,0.0,2.0,4.0,0.0,2.0
64,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
65,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
67,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
78,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
79,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
80,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
106,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
111,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
112,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
113,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
116,4.0,8.0,0.0,4.0,0.0,12.0,0.0,14.0,4.0,0.0,4.0,0.0,0.0,0.0
117,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
118,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
119,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
122,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
123,6.0,0.0,0.0,6.0,0.0,8.0,0.0,4.0,6.0,0.0,2.0,0.0,0.0,0.0
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
132,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
134,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
135,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
146,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
147,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
154,2.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
452,6.0,0.0,0.0,3.0,0.0,6.0,0.0,3.0,3.0,0.0,12.0,0.0,0.0,0.0
589,9.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
704,12.0,3.0,9.0,6.0,6.0,9.0,0.0,12.0,9.0,0.0,0.0,6.0,0.0,3.0
768,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
866,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
1321,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1383,9.0,0.0,3.0,3.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
1804,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1938,3.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0
2191,3.0,9.0,0.0,6.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
2674,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
3087,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,9.0,0.0,0.0
3264,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3450,0.0,6.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,3.0,0.0,6.0
4930,3.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0
5053,0.0,3.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,3.0,0.0,0.0,0.0
5555,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
6002,3.0,0.0,0.0,6.0,0.0,3.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0
6092,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
6449,9.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,3.0,0.0,3.0
6847,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6868,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7233,0.0,0.0,9.0,0.0,3.0,6.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
7359,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7420,0.0,12.0,0.0,6.0,0.0,3.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0
7438,9.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,0.0,3.0,0.0,0.0,0.0
7442,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
7458,3.0,6.0,0.0,6.0,3.0,3.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0
7575,0.0,6.0,3.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0
7702,3.0,3.0,3.0,0.0,0.0,6.0,0.0,3.0,3.0,3.0,0.0,3.0,0.0,3.0
7764,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,18.0,9.0,0.0
7789,0.0,9.0,0.0,3.0,0.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
7909,9.0,6.0,6.0,12.0,0.0,9.0,0.0,9.0,6.0,0.0,0.0,15.0,6.0,12.0
7928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
8030,12.0,12.0,6.0,15.0,3.0,12.0,0.0,21.0,12.0,3.0,6.0,6.0,0.0,3.0
8059,0.0,9.0,0.0,3.0,0.0,9.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8075,21.0,12.0,0.0,15.0,0.0,6.0,0.0,21.0,15.0,3.0,15.0,3.0,0.0,0.0
8805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
9954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
10694,0.0,6.0,3.0,3.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,3.0,0.0,3.0
11633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12273,3.0,3.0,0.0,0.0,0.0,9.0,0.0,15.0,3.0,3.0,6.0,0.0,0.0,0.0
12462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
12833,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12834,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
13224,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
13365,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
13944,6.0,9.0,0.0,3.0,0.0,6.0,0.0,9.0,3.0,0.0,6.0,0.0,0.0,0.0
14010,5.0,3.0,0.0,2.0,0.0,3.0,0.0,6.0,5.0,0.0,6.0,3.0,0.0,0.0
14030,5.0,9.0,0.0,8.0,0.0,0.0,0.0,6.0,3.0,0.0,3.0,0.0,0.0,0.0
14322,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14392,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
14811,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15055,6.0,9.0,0.0,3.0,0.0,3.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
15508,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
15577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
15662,18.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
16030,0.0,0.0,0.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0
16164,21.0,3.0,9.0,3.0,9.0,6.0,0.0,3.0,21.0,0.0,0.0,9.0,3.0,6.0
16941,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0
16951,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,3.0,0.0,0.0,0.0
16963,9.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,6.0,0.0,3.0
16982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
18040,6.0,3.0,0.0,9.0,0.0,18.0,0.0,14.0,12.0,0.0,2.0,3.0,0.0,3.0
18169,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,6.0,0.0,0.0
18508,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19496,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
19661,15.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0
20292,3.0,9.0,3.0,6.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,3.0
20833,18.0,6.0,0.0,6.0,0.0,9.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
20948,6.0,0.0,0.0,0.0,0.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
21475,2.0,0.0,2.0,6.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0
21577,39.0,3.0,0.0,18.0,0.0,27.0,0.0,21.0,42.0,0.0,6.0,12.0,0.0,0.0
21709,9.0,6.0,0.0,6.0,0.0,9.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,0.0
21750,36.0,0.0,0.0,15.0,0.0,6.0,0.0,3.0,27.0,0.0,0.0,12.0,0.0,0.0
22492,0.0,6.0,0.0,3.0,0.0,6.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
22708,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23641,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
23794,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
23877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,9.0,0.0
24234,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,3.0,0.0,0.0
24632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
24743,0.0,0.0,24.0,0.0,12.0,3.0,0.0,0.0,0.0,3.0,0.0,9.0,0.0,6.0
24868,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
25618,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
26339,15.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0
26454,6.0,3.0,0.0,6.0,0.0,0.0,0.0,15.0,3.0,0.0,3.0,0.0,0.0,0.0
26609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
28895,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
29733,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
29962,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
30031,24.0,9.0,0.0,18.0,0.0,11.0,0.0,5.0,30.0,0.0,3.0,3.0,0.0,3.0
30155,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
30281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
30958,6.0,3.0,0.0,0.0,0.0,9.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0
31000,9.0,3.0,0.0,3.0,3.0,3.0,0.0,3.0,9.0,3.0,0.0,6.0,0.0,6.0
31054,6.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
32009,0.0,9.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,3.0
32318,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
32331,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
32444,15.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,15.0,0.0,0.0,3.0,0.0,0.0
32658,0.0,6.0,3.0,3.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,0.0,3.0
32917,9.0,6.0,0.0,12.0,0.0,18.0,0.0,9.0,12.0,0.0,3.0,3.0,0.0,0.0
32936,12.0,3.0,0.0,6.0,0.0,3.0,0.0,12.0,9.0,0.0,3.0,3.0,0.0,3.0
32975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
33218,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33357,12.0,3.0,0.0,6.0,3.0,3.0,0.0,3.0,12.0,0.0,0.0,3.0,0.0,0.0
33474,9.0,0.0,0.0,9.0,0.0,3.0,0.0,0.0,6.0,0.0,6.0,3.0,0.0,0.0
33565,12.0,12.0,0.0,15.0,0.0,12.0,0.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0
34038,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
34074,30.0,12.0,3.0,18.0,0.0,18.0,0.0,9.0,30.0,3.0,3.0,9.0,0.0,3.0
34572,12.0,6.0,0.0,9.0,0.0,3.0,0.0,9.0,12.0,0.0,3.0,3.0,0.0,0.0
35928,6.0,12.0,0.0,9.0,0.0,3.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0
36235,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36321,30.0,3.0,0.0,9.0,0.0,9.0,0.0,15.0,33.0,0.0,0.0,9.0,0.0,0.0
36485,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
36585,3.0,6.0,6.0,0.0,0.0,12.0,0.0,12.0,0.0,2.0,6.0,6.0,0.0,6.0
37444,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
37451,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0
37465,12.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,12.0,0.0,0.0,3.0,0.0,0.0
37688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
37892,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37936,12.0,0.0,0.0,12.0,0.0,0.0,0.0,3.0,15.0,0.0,0.0,6.0,0.0,0.0
38699,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
38951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39340,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
39919,6.0,0.0,0.0,3.0,0.0,3.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0
40303,27.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0
40562,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
40661,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
41727,18.0,0.0,0.0,6.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,6.0,0.0,3.0
41881,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
42044,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
42266,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
42433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
42528,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
43309,3.0,3.0,5.0,6.0,0.0,6.0,0.0,12.0,3.0,3.0,0.0,0.0,0.0,2.0
43341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.0,0.0
43567,6.0,0.0,0.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0
43704,21.0,3.0,0.0,9.0,0.0,0.0,0.0,3.0,18.0,0.0,0.0,0.0,0.0,0.0
44318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0
44500,0.0,2.0,0.0,6.0,0.0,11.0,0.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0
44577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
44857,9.0,0.0,9.0,6.0,3.0,0.0,0.0,3.0,9.0,0.0,0.0,3.0,0.0,0.0
45457,0.0,0.0,0.0,3.0,0.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
